Player,pos,Team,FPTS,avg,,,,,,,,,,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL
Bub Means,WR,NO,106.2,6.25,,,,,,,,,,38,516,3,1,6,0,1,,
Kayshon Boutte,WR,NE,105.5,6.21,,,,,,,,,,32,486.2,4.2,0,0,0,0.1,,
Darnell Mooney,WR,NYG,105.4,6.20,,,,,,,,,,35.9,526,2.7,1.1,6,0,0.1,,
Atlanta Falcons,DST,ATL,104.3,6.14,,,,,,,,,,48.2,12.3,8.4,13.3,2.3,0.5,412.8,"5,546.70",
Chicago Bears,DST,CHI,102.4,6.02,,,,,,,,,,39.9,14,10.9,16.6,2.1,0,385.5,"5,918.10",
Philadelphia Eagles,DST,PHI,102.3,6.02,,,,,,,,,,42.2,13,10,14.4,2.4,0,323.2,"5,264.50",
Andre Szmyt,K,CLE,102,6.00,,,,,,,,,,24.6,28.1,28.1,,,,,,
Baltimore Ravens,DST,BAL,101.9,5.99,,,,,,,,,,46,12.8,9.3,14.1,2,0,360.5,"5,294.70",
Cleveland Browns,DST,CLE,101.1,5.95,,,,,,,,,,46.3,12.1,8.6,12.8,2.2,0,386.7,"5,193.40",
Darius Slayton,WR,NYG,100.7,5.92,,,,,,,,,,34.8,512.7,2.5,1.6,8.6,0,0.7,,
New Orleans Saints,DST,NO,100.5,5.91,,,,,,,,,,44.9,12.2,8.8,12.8,2.3,0,399.1,"5,484.60",
Cincinnati Bengals,DST,CIN,99.5,5.85,,,,,,,,,,41.1,13.1,9.8,13.4,2.1,0,413.1,"5,826.70",
